date,sentiment,win_rate
2025-03-14,Fear,88.93
2025-03-14,Fear,17.39
2025-03-16,Fear,66.67
2025-03-16,Fear,28.57
2025-03-16,Fear,33.33
2025-03-16,Fear,93.33
2025-03-16,Fear,85.71
2025-03-16,Fear,14.40
2025-03-16,Fear,21.14
2025-03-16,Fear,11.34
2025-03-17,Fear,0.00
2025-03-17,Fear,52.20
2025-03-17,Fear,0.00
2025-03-17,Fear,72.73
2025-03-17,Fear,0.00
2025-03-17,Fear,96.05
2025-03-17,Fear,0.00
2025-03-17,Fear,0.00
2025-03-17,Fear,26.55
2025-03-17,Fear,72.55
2025-03-17,Fear,36.93
2025-03-18,Fear,46.67
2025-03-18,Fear,18.02
2025-03-18,Fear,100.00
2025-03-18,Fear,2.27
2025-03-18,Fear,100.00
2025-03-18,Fear,71.43
2025-03-18,Fear,0.00
2025-03-18,Fear,50.00
2025-03-18,Fear,0.00
2025-03-18,Fear,0.00
2025-03-18,Fear,34.38
2025-03-18,Fear,0.00
2025-03-18,Fear,31.95
2025-03-19,Fear,90.91
2025-03-19,Fear,1.68
2025-03-19,Fear,0.00
2025-03-19,Fear,16.67
2025-03-19,Fear,96.55
2025-03-19,Fear,15.04
2025-03-19,Fear,90.70
2025-03-19,Fear,8.26
2025-03-19,Fear,0.00
2025-03-19,Fear,69.14
2025-03-19,Fear,0.00
2025-03-19,Fear,48.81
2025-03-21,Fear,8.33
2025-03-21,Fear,71.62
2025-03-21,Fear,0.00
2025-03-21,Fear,33.33
2025-03-21,Fear,0.00
2025-03-21,Fear,0.00
2025-03-21,Fear,0.00
2025-03-21,Fear,50.00
2025-03-21,Fear,50.73
2025-03-22,Fear,52.94
2025-03-22,Fear,0.00
2025-03-22,Fear,100.00
2025-03-22,Fear,100.00
2025-03-22,Fear,96.83
2025-03-22,Fear,100.00
2025-03-22,Fear,0.00
2025-03-22,Fear,25.58
2025-03-23,Fear,92.86
2025-03-23,Fear,60.00
2025-03-23,Fear,55.91
2025-03-23,Fear,0.00
2025-03-23,Fear,34.21
2025-03-23,Fear,90.00
2025-03-23,Fear,100.00
2025-03-23,Fear,29.73
2025-03-23,Fear,30.00
2025-03-23,Fear,10.11
2025-03-27,Fear,15.79
2025-03-27,Fear,16.85
2025-03-27,Fear,40.00
2025-03-27,Fear,0.00
2025-03-27,Fear,65.22
2025-03-27,Fear,96.88
2025-03-27,Fear,35.00
2025-03-27,Fear,28.57
2025-03-27,Fear,19.73
2025-03-27,Fear,0.00
2025-03-27,Fear,61.76
2025-03-28,Fear,0.00
2025-03-28,Fear,2.44
2025-03-28,Fear,0.00
2025-03-28,Fear,100.00
2025-03-28,Fear,0.00
2025-03-28,Fear,100.00
2025-03-28,Fear,100.00
2025-03-28,Fear,67.57
2025-03-28,Fear,7.41
2025-03-28,Fear,0.00
2025-03-28,Fear,33.33
2025-03-29,Fear,0.00
2025-03-29,Fear,33.33
2025-03-29,Fear,13.04
2025-03-29,Fear,0.00
2025-03-29,Fear,0.00
2025-03-29,Fear,79.52
2025-03-29,Fear,51.16
2025-03-29,Fear,20.00
